🎫 THE TICKET TAKER — PRE-REGISTERED ENTRY-CELL EDGE SEARCH

registration PREREG_TAKER_CELLS_2026-09-11.json  sha256 daa496cd38c7c7bc…  m=152  FDR=0.05
BAR: A cell is an EDGE iff it survives BH at FDR 0.05 across all m=152 pre-declared cells on the day-clustered one-sided paired-difference t, AND its selection-adjusted p_max <= 0.05 against the shift-placebo max statistic, AND it survives coin-clustering, AND it passes every concentration test, AND its point excess exceeds its own mde80_cluster. Even then it ships only as a shadow-lane restriction with a pre-registered forward read, never as a live change.

K=2000 null draws/close (seed 20260910)  ·  B=2000 shift placebos (seed 20260911)  ·  n floor = fleet_allocation.MIN_N = 10  ·  t_crit(30) = 1.3114

[bot_pnl_store] disabled: DATABASE_URL not set
ledger   304 kept after quarantine/phantom/adopted  ->  era n=208  since 2026-07-30T11:09:46+00:00 (policy-stamp)
families {'long-breakoutup': 162, 'short-divergence': 46}
LIVE_SIDES = {'divergence': ['short']}   <- a long-breakoutup survivor can only buy a SHADOW-lane filter

era reproduction  mine {'n': 208, 't': 2.12, 'h1': 46.06, 'h2': 70.59}  vs published {'n': 208, 't': 2.12, 'h1': 46.06, 'h2': 70.59}  -> MATCH

long-breakoutup  era n=162  carrying all 7 entry features: 162  (floor 140)

tape  49 coins, 46d (cache /Users/eamonjuaomartins-carrick/Claude/Projects/Crypto Trading Bot/.claude/worktrees/taker-edge/scripts/.taker_null_tape) …
  covers 46/49 coins (94%, floor 60%)

calibration  replayed +0.728%/trade vs ledger +0.809% on the SAME 196 closes (|drift| 0.081pp, tol 0.60pp)
calibration OK

outcome curves  196 closes (12 dropped: coin absent from the tape)  1.9s
null  K=2000 draws/close  median MC SE of mu_i = 0.124pp (ceiling 0.15pp)
paired unit  d_i = x_i - mu_i   book +0.809%/trade  null +1.063%/trade  excess -0.254pp

selection premium  B=2000 shift placebos: null max-t median +1.38, p95 +2.57  (4.6s)
  (a cell must beat that BEFORE it means anything — the already-measured premium on this book was ~+0.96 to +1.17 z-units)

§9 PIPELINE CALIBRATION — run BEFORE the real table; failure REFUSES.
  positive control +2.00pp planted on a sha256-parity cell (n=110, an EXTRA hypothesis so it carries the m+1=153 burden): t +2.91, p 3.03e-03, p_max 0.0195, post-BH survivors 0 -> does not fire  [GATING]

  the control cell's own MULTIPLICITY-ADJUSTED detection floor is 3.35pp/trade (n=110, G=39 day clusters, BH rank-1 threshold 3.27e-04) — a search this WIDE cannot see +2.00pp on a cell this size, whatever is in the data.
  !! --diagnostic: the control failure is DOWNGRADED to a reported line. Everything below is a LANDSCAPE, not a test. NO cell printed after this point can be called an edge, whatever its p-value, because the pipeline has just FAILED its own positive control at this width.
  positive control +1.00pp planted on a sha256-parity cell (n=110, an EXTRA hypothesis so it carries the m+1=153 burden): t +1.54, p 6.55e-02, p_max 0.3913, post-BH survivors 0 -> does not fire  [reported, not gating]
  placebo (book replaced by a held-out null draw, 20 seeds): post-BH survivors per seed [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] -> median 0 of 152 (ceiling 2)
  pipeline calibration: the placebo arm is CLEAN (it does not open on noise) but the POSITIVE CONTROL FAILED — so the gate does not open on a real +2.00pp effect either. Only one half of the calibration passed, and it is the half that cannot license a finding.

==================================================================================================================================================================
EVERY PRE-DECLARED CELL (all m, not just survivors — a sweep that prints only the winner is the artifact)
==================================================================================================================================================================
  # cell                                      n   G    book%    null%   excess   t_day   t_iid        p    BHthr  BH  mde80c   mdeBH    pmax note
------------------------------------------------------------------------------------------------------------------------------------------------------------------
127 prem_bps>=p50 & range_pos>=p50           42  17   +0.757   +1.467   -0.710   -0.55   -0.65   0.7059  0.03026   -    3.69    6.52  1.0000 ok conjunction @p50
128 prem_bps>=p50 & range_pos<=p50           43  18   -0.017   +1.782   -1.799   -2.09   -2.11   0.9739  0.04605   -    2.47    4.33  1.0000 ok conjunction @p50
129 prem_bps<=p50 & range_pos>=p50           57  31   +2.535   +1.372   +1.164   +0.93   +1.39   0.1808  0.00296   -    3.58    5.85  0.8236 ok conjunction @p50
130 prem_bps<=p50 & range_pos<=p50           38  24   +1.404   +1.326   +0.078   +0.07   +0.09   0.4714  0.01711   -    3.10    5.17  0.9970 ok conjunction @p50
131 prem_bps>=p50 & brk_quality>=p50         48  20   +0.514   +2.141   -1.627   -1.37   -1.53   0.9068  0.04178   -    3.40    5.85  1.0000 ok conjunction @p50
132 prem_bps>=p50 & brk_quality<=p50         29  16   +0.433   +0.804   -0.371   -0.44   -0.42   0.6656  0.02697   -    2.47    4.37  1.0000 ok conjunction @p50
133 prem_bps<=p50 & brk_quality>=p50         29  21   +1.093   +1.461   -0.368   -0.36   -0.36   0.6398  0.02599   -    2.94    4.96  1.0000 ok conjunction @p50
134 prem_bps<=p50 & brk_quality<=p50         48  24   +2.577   +1.233   +1.344   +0.92   +1.51   0.1825  0.00362   -    4.16    6.97  0.8246 ok conjunction @p50
135 prem_bps>=p50 & up_strength>=p50         51  20   +0.254   +1.969   -1.715   -1.58   -1.70   0.9344  0.04375   -    3.11    5.36  1.0000 ok conjunction @p50
136 prem_bps>=p50 & up_strength<=p50         26  17   +0.933   +0.986   -0.052   -0.06   -0.06   0.5232  0.02007   -    2.59    4.51  0.9995 ok conjunction @p50
137 prem_bps<=p50 & up_strength>=p50         26  19   +0.965   +1.570   -0.605   -0.64   -0.56   0.7335  0.03322   -    2.77    4.73  1.0000 ok conjunction @p50
138 prem_bps<=p50 & up_strength<=p50         51  24   +2.554   +1.191   +1.364   +0.93   +1.59   0.1809  0.00329   -    4.19    7.03  0.8216 ok conjunction @p50
139 range_pos>=p50 & brk_quality>=p50        44  26   +1.053   +1.719   -0.666   -0.62   -0.61   0.7282  0.03224   -    3.10    5.13  1.0000 ok conjunction @p50
140 range_pos>=p50 & brk_quality<=p50        54  28   +2.321   +1.178   +1.143   +0.90   +1.36   0.1872  0.00461   -    3.61    5.95  0.8341 ok conjunction @p50
141 range_pos<=p50 & brk_quality>=p50        41  20   -0.089   +2.008   -2.097   -2.04   -2.29   0.9723  0.04572   -    2.95    5.06  1.0000 ok conjunction @p50
142 range_pos<=p50 & brk_quality<=p50        38  22   +1.350   +1.092   +0.258   +0.30   +0.31   0.3848  0.01447   -    2.50    4.21  0.9880 ok conjunction @p50
143 range_pos>=p50 & up_strength>=p50        40  24   +1.022   +1.748   -0.726   -0.62   -0.62   0.7301  0.03257   -    3.35    5.60  1.0000 ok conjunction @p50
144 range_pos>=p50 & up_strength<=p50        58  28   +2.255   +1.195   +1.060   +0.82   +1.31   0.2096  0.00658   -    3.68    6.08  0.8751 ok conjunction @p50
145 range_pos<=p50 & up_strength>=p50        46  21   -0.413   +1.855   -2.268   -2.55   -2.72   0.9906  0.04671   -    2.54    4.34  1.0000 ok conjunction @p50
146 range_pos<=p50 & up_strength<=p50        33  19   +2.020   +1.167   +0.853   +0.91   +0.94   0.1878  0.00493   -    2.71    4.67  0.8321 ok conjunction @p50
147 brk_quality>=p50 & up_strength>=p50      69  26   +0.761   +1.939   -1.179   -1.27   -1.41   0.8921  0.04079   -    2.64    4.41  1.0000 ok conjunction @p50
148 brk_quality>=p50 & up_strength<=p50       7   7   +0.512   +1.243   -0.731      --   -0.40   1.0000  0.04967   -      --      --      -- THIN conjunction @p50
149 brk_quality<=p50 & up_strength>=p50       7   6   -2.103   +0.691   -2.793      --   -2.24   1.0000  0.05000   -      --      --      -- THIN conjunction @p50
150 brk_quality<=p50 & up_strength<=p50      69  30   +2.121   +1.118   +1.003   +0.95   +1.43   0.1760  0.00263   -    3.01    4.95  0.8131 ok conjunction @p50
151 FAMILY long-breakoutup (whole)          152  36   +1.235   +1.477   -0.242   -0.30   -0.47   0.6171  0.02401   -    2.27    3.70  1.0000 ok family
152 FAMILY short-divergence (whole)          44  19   -0.663   -0.366   -0.296   -0.41   -0.50   0.6580  0.02664   -    2.05    3.56  1.0000 ok REPORT-ONLY: mde80 ~2.5pp exceeds the whole book's mean
------------------------------------------------------------------------------------------------------------------------------------------------------

VERDICT: REFUSAL — no cell meets the pre-declared bar.
  best cell: vol_m<=p50 & up_strength<=p50  n=43  excess +1.536pp  t_day +1.20  p 0.1207  p_max 0.6282  (BH needed p <= 0.000329 at rank 1)
  No admissible entry-time cell of this book detectably beats a coin flip at any effect below 1.90pp/trade, where that is the smallest cluster-adjusted mde80 across the 144 judgeable cells.
  And at the width actually searched (m=152), the smallest MULTIPLICITY-ADJUSTED detection floor is 3.10pp/trade — against a whole-book mean of +1.38%/trade. Widening the search RAISES that floor. That is the measured answer to 'widen until you find an edge': the widening is what destroys the power.
  This names what could NOT have been seen. It does NOT claim the book has no edge: the family's own one-sided upper bound is positive, so nothing is excluded either (I26 — a refusal needs a MEASURED harm, and 'unproven' is not one).

The search is a REFUSAL iff no cell meets that conjunction. It is reported with the best cell's excess, its p_max, and the smallest cluster-adjusted mde80 across the tested cells — it names what could NOT have been seen; it does not claim the book has no edge.
